GeneID,C1,C2,C3,C4,C5,T1,T2,T3,T4,T5
U6S72ak0MJ0d,110900,115400,115300,118200,106600,59380,52440,51470,46360,47780
j3OOvVM5Aoyq,69050,63790,66830,64960,60000,44210,39380,43980,40060,42130
jgGdKBY8rzX7,1320000,1204000,1397000,1346000,1295000,519100,553100,513200,486200,528700
yhHYAjLtW3hY,114000,105800,115200,118400,115400,53350,41560,48180,47630,49720
0baN9BFDRRfF,197300,235600,239100,221200,206900,35130,38520,26990,32750,26490
hSGqXh3zdhP7,455500,411300,473000,445000,422200,68350,57110,51330,44600,47100
JjNd7nIOtSeq,573000,518200,571900,565700,538400,171300,165100,159300,155200,154300
yGlpdgrLrlhW,72810,75780,82370,76720,71340,20720,19370,18740,17760,17820
DEodnikXO18B,491600,479000,484500,480100,448700,97680,103900,103100,117100,93360
ThmiwsqoRYHS,70480,73480,73130,80210,77970,29850,31410,25000,27160,31910
InMDYPJtmG7s,82350,80510,83960,84170,71110,6116,6540,5482,4335,5031
3fBk3L5SXezJ,287100,265500,292700,300900,271500,24810,26530,18240,23840,16700
X7XXcb2AufMQ,137400,141900,146700,147500,143800,11730,11640,9977,8525,10010
y6454064d4m4,1217000,1192000,1290000,1234000,1169000,424200,384100,410200,389300,403600
YSMBdssbPECg,46120,46810,47500,48130,45920,3417,4658,4159,4414,4049
tb7Hp144sZJI,11160,12070,12520,10630,11610,3450,2386,3418,2560,2574
mBROMjcnkXIS,217300,209300,243900,227500,218900,138800,138200,134900,135300,129000
fFIi026eUo0Y,301400,268900,276300,305900,270000,81680,85910,75190,89420,84940
uSzy7wBr10tq,465000,450100,461700,479900,429700,106200,84470,67720,77670,72300
4Gf6Elxlw7Sr,2014000,1912000,2083000,2025000,1942000,539600,526100,499200,443400,485200
pucbF1wBOKb9,359700,352500,361100,386600,337800,173100,171600,168500,152800,162400
hsvuzwptvllU,431800,424700,425800,428700,422700,172700,187300,168700,167200,180200
mvUeleUdJjTn,271700,259700,253500,284200,274300,51300,43810,30610,32190,45230
Yb8rxazMXYgi,67630,66650,68970,71400,68070,13260,12560,10090,10130,11790
d6xV1iGh2nbA,250000,237200,234300,243600,235300,59400,50200,46920,47340,49040
1SnlJcW2eNkT,230700,225100,237400,234700,219200,6016,7676,6096,7544,8765
uci3VS9MlZb9,323000,360300,392400,392600,341400,113300,106900,106100,112200,93290
VbIPqWoIOP32,552600,524500,532500,551600,511400,232800,231200,261100,230700,213400
dRlqQ41mDtej,285200,255000,289500,275600,249700,79900,71810,70580,61980,65530
9hYi51SVqdyt,925300,929000,952700,998100,870100,39980,30870,24910,21570,25760
Ta56L96aSI3H,154700,141400,148100,149000,147500,89130,88930,88060,87020,84020
X5ucyDkXbxDz,188800,194300,203600,194800,190600,82670,78180,75360,76240,72060
fS79In4oglL9,1702000,1633000,1699000,1677000,1568000,425000,417600,439500,370000,411800
kHllIJD9I1mL,35970,38340,42490,41450,41230,20280,17800,19990,18360,18210
gtSerGtN4X0e,232500,236200,243500,234600,258400,92530,80950,102100,102000,101800
H8XC7vaxdR0F,166600,174700,183700,162400,167600,79560,80380,65400,77660,73360
OCmw9Sr822wf,25190,22120,26350,23710,25540,62400,62830,61720,62080,61630
s4jaILNxnXn4,12540,15960,15180,15010,15150,5397,2946,4444,4739,4202
2my1CGCrfkX3,34410,39310,38410,38710,44050,13760,11760,10600,13290,13860
KInDVyrkQF35,460700,450700,465200,494000,482300,113100,106000,105400,85490,88540
M4D86KCdFyNS,101700,106000,116000,107000,94310,21150,18760,20190,19360,15600
1ltpgDQbo9Jb,247800,250300,275900,276900,245400,74880,72010,64470,72760,76870
APHGrwTFUuHE,59800,61040,57660,57470,59080,35870,30710,34650,31390,35300
9Fs0iQqDuH8f,867000,875700,901100,915800,884400,261600,238900,269300,218500,245000
rA9oC67NBLyx,578600,528200,590800,571600,548300,149600,136900,149600,129700,142600
RbskWJ3Emtrv,186400,188300,197200,201500,170500,23220,18090,23220,17350,15640
VpV2V1nKlJBD,6425000,6529000,6516000,6599000,6061000,256100,195700,38480,41040,47270
55IKCzSmFRip,162500,155800,170700,169900,149400,106100,96880,104500,94440,105100
k379k3WTWA2d,771100,782100,782000,796600,763000,258100,258200,261800,252200,225800
rfDJZKukHcAb,1486000,1389000,1528000,1554000,1330000,325500,292400,271500,261400,273000
p0rrdAnU8pgg,1707000,1601000,1854000,1934000,1755000,848200,810600,805400,742500,782100
V3VOHSUBBtEN,236000,227300,233000,253400,215400,48100,39280,47710,47110,50100
